Are you sure you want to do this?,Sind Sie sicher, dass Sie fortfahren möchten?
Delete Consent,Zustimmung löschen
Personal Data,Persönliche Daten
Anonymise,Anonymisieren
Are you sure you want to anonymise personal data?,Sind Sie sicher, dass Sie die persönlichen Daten anonymisieren möchten?
Download,Herunterladen
Delete,Löschen
Are you sure you want to delete personal data? (Personal data in previously created orders, invoices, shipments and credit memos will be anonymised then.),Sind Sie sicher, dass Sie die persönlichen Daten löschen möchten? (Persönliche Daten in zuvor erstellten Bestellungen, Rechnungen, Warensendungen und Gutschriften werden dann anonymisiert.)
Clone,Klonieren
Save and Continue Edit,Speichern und weiter bearbeiten
Save,Speichern
Send,Senden
Policies text,Richlinientext
Here you can download a copy of your personal data which we store for your order in CSV format.,Hier können Sie eine Kopie Ihrer persönlichen Daten, die wir für Ihr Konto speichern, im CSV-Format herunterladen.
Here you can download a copy of your personal data which we store for your account in CSV format.,Hier können Sie eine Kopie Ihrer persönlichen Daten, die wir für Ihr Konto speichern, im CSV-Format herunterladen.
Download personal data,Persönliche Daten herunterladen
Merge into one file,In eine Datei zusammenführen
Anonymise personal data,Persönliche Daten anonymisieren
"Your personal data will be replaced with non-personal anonymous
                        information. When you get a new login by e-mail, your e-mail address
                        and all other personal data will be removed from the website.","Ihre persönlichen Daten werden durch nicht-persönliche, anonyme Daten ersetzt. Wenn Sie eine neue Anmeldung per E-Mail erhalten, werden Ihre E-Mail-Adresse und alle anderen persönlichen Daten von der Website entfernt."
"Your personal data will be replaced with non-personal anonymous information. When you get a new login by e-mail, your e-mail address and all other personal data will be removed from the website.","Ihre persönlichen Daten werden durch nicht-persönliche, anonyme Daten ersetzt. Wenn Sie eine neue Anmeldung per E-Mail erhalten, werden Ihre E-Mail-Adresse und alle anderen persönlichen Daten von der Website entfernt."
I agree and I want to proceed,Ich stimme zu und möchte fortfahren.
Proceed,Fortfahren
Delete account,Konto löschen
"All your orders, personal data and other information related
                        to your account or purchases will be lost. You will not be able
                        to restore access to your account after we approve your removal request.","Alle Ihre Bestellungen, persönlichen Daten und andere Informationen im Zusammenhang mit Ihrem Konto oder Einkäufe gehen verloren. Sie können den Zugriff zu Ihrem Konto nicht wiederherstellen, nachdem wir Ihren Antrag auf Löschung genehmigen."
"All your orders, personal data and other information related to your account or purchases will be lost. You will not be able to restore access to your account after we approve your removal request.","Alle Ihre Bestellungen, persönlichen Daten und andere Informationen im Zusammenhang mit Ihrem Konto oder Einkäufe gehen verloren. Sie können den Zugriff zu Ihrem Konto nicht wiederherstellen, nachdem wir Ihren Antrag auf Löschung genehmigen."
