"Advanced Pricing","Advanced Pricing"
"Tier Prices","Tier Prices"
"ALL GROUPS","ALL GROUPS"
"Something went wrong while updating the product(s) data.","Something went wrong while updating the product(s) data."
"Something was wrong. Please try again.","Something was wrong. Please try again."
"Assign Category","Assign Category"
"Are you sure you want to assign category?","Are you sure you want to assign category?"
"Category IDs","Category IDs"
"id1,id2,id3","id1,id2,id3"
"Can not handle the category ID=%1, the error is: %2","Can not handle the category ID=%1, the error is: %2"
"Total of %1 category(ies) and %2 product(s) have been successfully updated.","Total of %1 category(ies) and %2 product(s) have been successfully updated."
"Please provide comma separated category IDs","Please provide comma separated category IDs"
"Magento2 does not allow to save the category ID=%1","Magento2 does not allow to save the category ID=%1"
"Modify Price using Cost","Modify Price using Cost"
"Are you sure you want to modify price using cost?","Are you sure you want to modify price using cost?"
"Modify Special Price using Price","Modify Special Price using Price"
"Are you sure you want to modify special price using price?","Are you sure you want to modify special price using price?"
"Modify Special Price using Cost","Modify Special Price using Cost"
"Are you sure you want to modify special price using cost?","Are you sure you want to modify special price using cost?"
"Fast Delete","Fast Delete"
"Are you sure you want to apply Fast Delete?","Are you sure you want to apply Fast Delete?"
"Please select product(s)","Please select product(s)"
"Products have been successfully deleted. We recommend to refresh indexes at the System > Index Management page.","Products have been successfully deleted. We recommend to refresh indexes at the System > Index Management page."
"Append Text","Append Text"
"Are you sure you want to append text?","Are you sure you want to append text?"
Append,Append
attribute_code->text,attribute_code->text
"Total of %1 products(s) have been successfully updated.","Total of %1 products(s) have been successfully updated."
"Field must contain ""' . . '""","Field must contain ""' . . '"""
"There is no product attribute with code `%1`, ","There is no product attribute with code `%1`, "
"Change Attribute Set","Change Attribute Set"
"Are you sure you want to change attribute set?","Are you sure you want to change attribute set?"
To,To
"Attribute Set Id","Attribute Set Id"
"Please provide a valid Attribute Group ID","Please provide a valid Attribute Group ID"
"Provided Attribute set non product Attribute set.","Provided Attribute set non product Attribute set."
"Can not change the attribute set for product ID %1, error is: %2","Can not change the attribute set for product ID %1, error is: %2"
"Total of %1 products(s) have not been updated, the reason: impossibility to change attribute set for configurable product","Total of %1 products(s) have not been updated, the reason: impossibility to change attribute set for configurable product"
"Change Visibility","Change Visibility"
"Are you sure you want to change visibility?","Are you sure you want to change visibility?"
"Can not change visibility for product ID %1, error is: %2","Can not change visibility for product ID %1, error is: %2"
"Copy Attributes","Copy Attributes"
"Are you sure you want to copy attributes?","Are you sure you want to copy attributes?"
From,From
"ID of product","ID of product"
"Please provide a valid product ID","Please provide a valid product ID"
"Please remove source product from the selected products","Please remove source product from the selected products"
